"","(Intercept)","Mkt.RF","date"
"211",-3.22661169178126,1.3377730840368,2021-01-15
"212",-3.24363699984817,1.32881707500076,2021-01-22
"213",-3.21825088945375,1.32457064924898,2021-01-29
"214",-3.11869398545282,1.35194061085831,2021-02-05
"215",-3.05227741268616,1.35843888533779,2021-02-12
"216",-2.95840431641989,1.35170449549998,2021-02-19
"217",-2.76276942701531,1.30873335017913,2021-02-26
"218",-2.57867357454208,1.29474295723873,2021-03-05
"219",-2.55963786248514,1.29893201395398,2021-03-12
"220",-2.60299175825295,1.30406874462441,2021-03-19
"221",-2.51535794857315,1.3068363225714,2021-03-26
"222",-2.46834813779428,1.31518745481533,2021-04-01
"223",-2.50586943301504,1.30532694529502,2021-04-09
"224",-2.45538394114959,1.30321872171294,2021-04-16
"225",-2.37157135093792,1.30936622716724,2021-04-23
"226",-2.27713931216325,1.30627729159087,2021-04-30
"227",-2.15476000979035,1.30798061209697,2021-05-07
"228",-2.10037891133918,1.29964591726691,2021-05-14
"229",-2.04237103993325,1.29191047169738,2021-05-21
"230",-2.02776078229589,1.28913907944237,2021-05-28
"231",-1.87953510059015,1.31555480154535,2021-06-04
"232",-1.83683545054338,1.31576465348254,2021-06-11
"233",-1.80840281077949,1.32005883372926,2021-06-18
"234",-1.75588377994013,1.32890764384712,2021-06-25
"235",-1.67097263534704,1.33700726773308,2021-07-02
"236",-1.68949886106135,1.33787129788322,2021-07-09
"237",-1.69537953320562,1.34024650363045,2021-07-16
"238",-1.63079214479332,1.34757325526771,2021-07-23
"239",-1.57714853785215,1.33896271259809,2021-07-30
"240",-1.50785212686579,1.33349443372537,2021-08-06
"241",-1.4503177963397,1.3250572577913,2021-08-13
"242",-1.45360548510117,1.32437149479467,2021-08-20
"243",-1.37698987400985,1.33821163084195,2021-08-27
"244",-1.35988616067265,1.34043821252359,2021-09-03
"245",-1.35124652829982,1.333799471679,2021-09-10
"246",-1.31515822550928,1.33172687083129,2021-09-17
"247",-1.14724841742634,1.32197827766321,2021-09-24
"248",-0.923920140759702,1.28729090200511,2021-10-01
"249",-0.875021913346107,1.28807129386734,2021-10-08
"250",-0.830424188982266,1.28446689872585,2021-10-15
"251",-0.820103503110329,1.28546526397635,2021-10-22
"252",-0.812213251386451,1.28662574943802,2021-10-29
